case_id,feature,delta,original_value,perturbed_value,clamped,original_verdict,perturbed_verdict,flipped
amazon_recruiting,intrinsic_safety,-0.1,0.45,0.35,False,REJECT,REJECT,False
amazon_recruiting,intrinsic_safety,-0.05,0.45,0.4,False,REJECT,REJECT,False
amazon_recruiting,intrinsic_safety,0.0,0.45,0.45,False,REJECT,REJECT,False
amazon_recruiting,intrinsic_safety,0.05,0.45,0.5,False,REJECT,REJECT,False
amazon_recruiting,intrinsic_safety,0.1,0.45,0.55,False,REJECT,REJECT,False
amazon_recruiting,evidence_strength,-0.1,0.3,0.2,False,REJECT,REJECT,False
amazon_recruiting,evidence_strength,-0.05,0.3,0.25,False,REJECT,REJECT,False
amazon_recruiting,evidence_strength,0.0,0.3,0.3,False,REJECT,REJECT,False
amazon_recruiting,evidence_strength,0.05,0.3,0.35,False,REJECT,REJECT,False
amazon_recruiting,evidence_strength,0.1,0.3,0.4,False,REJECT,REJECT,False
amazon_recruiting,bias_harm_index,-0.1,0.75,0.65,False,REJECT,REJECT,False
amazon_recruiting,bias_harm_index,-0.05,0.75,0.7,False,REJECT,REJECT,False
amazon_recruiting,bias_harm_index,0.0,0.75,0.75,False,REJECT,REJECT,False
amazon_recruiting,bias_harm_index,0.05,0.75,0.8,False,REJECT,REJECT,False
amazon_recruiting,bias_harm_index,0.1,0.75,0.85,False,REJECT,REJECT,False
amazon_recruiting,uncertainty_calibration,-0.1,0.45,0.35,False,REJECT,REJECT,False
amazon_recruiting,uncertainty_calibration,-0.05,0.45,0.4,False,REJECT,REJECT,False
amazon_recruiting,uncertainty_calibration,0.0,0.45,0.45,False,REJECT,REJECT,False
amazon_recruiting,uncertainty_calibration,0.05,0.45,0.5,False,REJECT,REJECT,False
amazon_recruiting,uncertainty_calibration,0.1,0.45,0.55,False,REJECT,REJECT,False
amazon_recruiting,traceability_integrity,-0.1,0.3,0.2,False,REJECT,REJECT,False
amazon_recruiting,traceability_integrity,-0.05,0.3,0.25,False,REJECT,REJECT,False
amazon_recruiting,traceability_integrity,0.0,0.3,0.3,False,REJECT,REJECT,False
amazon_recruiting,traceability_integrity,0.05,0.3,0.35,False,REJECT,REJECT,False
amazon_recruiting,traceability_integrity,0.1,0.3,0.4,False,REJECT,REJECT,False
babylon,intrinsic_safety,-0.1,0.5,0.4,False,REJECT,REJECT,False
babylon,intrinsic_safety,-0.05,0.5,0.45,False,REJECT,REJECT,False
babylon,intrinsic_safety,0.0,0.5,0.5,False,REJECT,REJECT,False
babylon,intrinsic_safety,0.05,0.5,0.55,False,REJECT,REJECT,False
babylon,intrinsic_safety,0.1,0.5,0.6,False,REJECT,REJECT,False
babylon,evidence_strength,-0.1,0.35,0.25,False,REJECT,REJECT,False
babylon,evidence_strength,-0.05,0.35,0.3,False,REJECT,REJECT,False
babylon,evidence_strength,0.0,0.35,0.35,False,REJECT,REJECT,False
babylon,evidence_strength,0.05,0.35,0.4,False,REJECT,REJECT,False
babylon,evidence_strength,0.1,0.35,0.45,False,REJECT,REJECT,False
babylon,bias_harm_index,-0.1,0.25,0.15,False,REJECT,REJECT,False
babylon,bias_harm_index,-0.05,0.25,0.2,False,REJECT,REJECT,False
babylon,bias_harm_index,0.0,0.25,0.25,False,REJECT,REJECT,False
babylon,bias_harm_index,0.05,0.25,0.3,False,REJECT,REJECT,False
babylon,bias_harm_index,0.1,0.25,0.35,False,REJECT,REJECT,False
babylon,uncertainty_calibration,-0.1,0.45,0.35,False,REJECT,REJECT,False
babylon,uncertainty_calibration,-0.05,0.45,0.4,False,REJECT,REJECT,False
babylon,uncertainty_calibration,0.0,0.45,0.45,False,REJECT,REJECT,False
babylon,uncertainty_calibration,0.05,0.45,0.5,False,REJECT,REJECT,False
babylon,uncertainty_calibration,0.1,0.45,0.55,False,REJECT,REJECT,False
babylon,traceability_integrity,-0.1,0.3,0.2,False,REJECT,REJECT,False
babylon,traceability_integrity,-0.05,0.3,0.25,False,REJECT,REJECT,False
babylon,traceability_integrity,0.0,0.3,0.3,False,REJECT,REJECT,False
babylon,traceability_integrity,0.05,0.3,0.35,False,REJECT,REJECT,False
babylon,traceability_integrity,0.1,0.3,0.4,False,REJECT,REJECT,False
compas,intrinsic_safety,-0.1,0.4,0.3,False,REJECT,REJECT,False
compas,intrinsic_safety,-0.05,0.4,0.35,False,REJECT,REJECT,False
compas,intrinsic_safety,0.0,0.4,0.4,False,REJECT,REJECT,False
compas,intrinsic_safety,0.05,0.4,0.45,False,REJECT,REJECT,False
compas,intrinsic_safety,0.1,0.4,0.5,False,REJECT,REJECT,False
compas,evidence_strength,-0.1,0.55,0.45,False,REJECT,REJECT,False
compas,evidence_strength,-0.05,0.55,0.5,False,REJECT,REJECT,False
compas,evidence_strength,0.0,0.55,0.55,False,REJECT,REJECT,False
compas,evidence_strength,0.05,0.55,0.6,False,REJECT,REJECT,False
compas,evidence_strength,0.1,0.55,0.65,False,REJECT,REJECT,False
compas,bias_harm_index,-0.1,0.85,0.75,False,REJECT,REJECT,False
compas,bias_harm_index,-0.05,0.85,0.8,False,REJECT,REJECT,False
compas,bias_harm_index,0.0,0.85,0.85,False,REJECT,REJECT,False
compas,bias_harm_index,0.05,0.85,0.9,False,REJECT,REJECT,False
compas,bias_harm_index,0.1,0.85,0.95,False,REJECT,REJECT,False
compas,uncertainty_calibration,-0.1,0.5,0.4,False,REJECT,REJECT,False
compas,uncertainty_calibration,-0.05,0.5,0.45,False,REJECT,REJECT,False
compas,uncertainty_calibration,0.0,0.5,0.5,False,REJECT,REJECT,False
compas,uncertainty_calibration,0.05,0.5,0.55,False,REJECT,REJECT,False
compas,uncertainty_calibration,0.1,0.5,0.6,False,REJECT,REJECT,False
compas,traceability_integrity,-0.1,0.25,0.15,False,REJECT,REJECT,False
compas,traceability_integrity,-0.05,0.25,0.2,False,REJECT,REJECT,False
compas,traceability_integrity,0.0,0.25,0.25,False,REJECT,REJECT,False
compas,traceability_integrity,0.05,0.25,0.3,False,REJECT,REJECT,False
compas,traceability_integrity,0.1,0.25,0.35,False,REJECT,REJECT,False
epic_sepsis,intrinsic_safety,-0.1,0.35,0.25,False,REJECT,REJECT,False
epic_sepsis,intrinsic_safety,-0.05,0.35,0.3,False,REJECT,REJECT,False
epic_sepsis,intrinsic_safety,0.0,0.35,0.35,False,REJECT,REJECT,False
epic_sepsis,intrinsic_safety,0.05,0.35,0.4,False,REJECT,REJECT,False
epic_sepsis,intrinsic_safety,0.1,0.35,0.45,False,REJECT,REJECT,False
epic_sepsis,evidence_strength,-0.1,0.6,0.5,False,REJECT,REJECT,False
epic_sepsis,evidence_strength,-0.05,0.6,0.55,False,REJECT,REJECT,False
epic_sepsis,evidence_strength,0.0,0.6,0.6,False,REJECT,REJECT,False
epic_sepsis,evidence_strength,0.05,0.6,0.65,False,REJECT,REJECT,False
epic_sepsis,evidence_strength,0.1,0.6,0.7,False,REJECT,REJECT,False
epic_sepsis,bias_harm_index,-0.1,0.2,0.1,False,REJECT,REJECT,False
epic_sepsis,bias_harm_index,-0.05,0.2,0.15,False,REJECT,REJECT,False
epic_sepsis,bias_harm_index,0.0,0.2,0.2,False,REJECT,REJECT,False
epic_sepsis,bias_harm_index,0.05,0.2,0.25,False,REJECT,REJECT,False
epic_sepsis,bias_harm_index,0.1,0.2,0.3,False,REJECT,REJECT,False
epic_sepsis,uncertainty_calibration,-0.1,0.3,0.2,False,REJECT,REJECT,False
epic_sepsis,uncertainty_calibration,-0.05,0.3,0.25,False,REJECT,REJECT,False
epic_sepsis,uncertainty_calibration,0.0,0.3,0.3,False,REJECT,REJECT,False
epic_sepsis,uncertainty_calibration,0.05,0.3,0.35,False,REJECT,REJECT,False
epic_sepsis,uncertainty_calibration,0.1,0.3,0.4,False,REJECT,REJECT,False
epic_sepsis,traceability_integrity,-0.1,0.35,0.25,False,REJECT,REJECT,False
epic_sepsis,traceability_integrity,-0.05,0.35,0.3,False,REJECT,REJECT,False
epic_sepsis,traceability_integrity,0.0,0.35,0.35,False,REJECT,REJECT,False
epic_sepsis,traceability_integrity,0.05,0.35,0.4,False,REJECT,REJECT,False
epic_sepsis,traceability_integrity,0.1,0.35,0.45,False,REJECT,REJECT,False
gender_shades,intrinsic_safety,-0.1,0.45,0.35,False,REJECT,REJECT,False
gender_shades,intrinsic_safety,-0.05,0.45,0.4,False,REJECT,REJECT,False
gender_shades,intrinsic_safety,0.0,0.45,0.45,False,REJECT,REJECT,False
gender_shades,intrinsic_safety,0.05,0.45,0.5,False,REJECT,REJECT,False
gender_shades,intrinsic_safety,0.1,0.45,0.55,False,REJECT,REJECT,False
gender_shades,evidence_strength,-0.1,0.8,0.7,False,REJECT,REJECT,False
gender_shades,evidence_strength,-0.05,0.8,0.75,False,REJECT,REJECT,False
gender_shades,evidence_strength,0.0,0.8,0.8,False,REJECT,REJECT,False
gender_shades,evidence_strength,0.05,0.8,0.85,False,REJECT,REJECT,False
gender_shades,evidence_strength,0.1,0.8,0.9,False,REJECT,REJECT,False
gender_shades,bias_harm_index,-0.1,0.9,0.8,False,REJECT,REJECT,False
gender_shades,bias_harm_index,-0.05,0.9,0.85,False,REJECT,REJECT,False
gender_shades,bias_harm_index,0.0,0.9,0.9,False,REJECT,REJECT,False
gender_shades,bias_harm_index,0.05,0.9,0.95,False,REJECT,REJECT,False
gender_shades,bias_harm_index,0.1,0.9,1.0,False,REJECT,REJECT,False
gender_shades,uncertainty_calibration,-0.1,0.5,0.4,False,REJECT,REJECT,False
gender_shades,uncertainty_calibration,-0.05,0.5,0.45,False,REJECT,REJECT,False
gender_shades,uncertainty_calibration,0.0,0.5,0.5,False,REJECT,REJECT,False
gender_shades,uncertainty_calibration,0.05,0.5,0.55,False,REJECT,REJECT,False
gender_shades,uncertainty_calibration,0.1,0.5,0.6,False,REJECT,REJECT,False
gender_shades,traceability_integrity,-0.1,0.45,0.35,False,REJECT,REJECT,False
gender_shades,traceability_integrity,-0.05,0.45,0.4,False,REJECT,REJECT,False
gender_shades,traceability_integrity,0.0,0.45,0.45,False,REJECT,REJECT,False
gender_shades,traceability_integrity,0.05,0.45,0.5,False,REJECT,REJECT,False
gender_shades,traceability_integrity,0.1,0.45,0.55,False,REJECT,REJECT,False
google_dr,intrinsic_safety,-0.1,0.55,0.45,False,APPROVE,REJECT,True
google_dr,intrinsic_safety,-0.05,0.55,0.5,False,APPROVE,APPROVE,False
google_dr,intrinsic_safety,0.0,0.55,0.55,False,APPROVE,APPROVE,False
google_dr,intrinsic_safety,0.05,0.55,0.6,False,APPROVE,APPROVE,False
google_dr,intrinsic_safety,0.1,0.55,0.65,False,APPROVE,APPROVE,False
google_dr,evidence_strength,-0.1,0.7,0.6,False,APPROVE,APPROVE,False
google_dr,evidence_strength,-0.05,0.7,0.65,False,APPROVE,APPROVE,False
google_dr,evidence_strength,0.0,0.7,0.7,False,APPROVE,APPROVE,False
google_dr,evidence_strength,0.05,0.7,0.75,False,APPROVE,APPROVE,False
google_dr,evidence_strength,0.1,0.7,0.8,False,APPROVE,APPROVE,False
google_dr,bias_harm_index,-0.1,0.25,0.15,False,APPROVE,APPROVE,False
google_dr,bias_harm_index,-0.05,0.25,0.2,False,APPROVE,APPROVE,False
google_dr,bias_harm_index,0.0,0.25,0.25,False,APPROVE,APPROVE,False
google_dr,bias_harm_index,0.05,0.25,0.3,False,APPROVE,APPROVE,False
google_dr,bias_harm_index,0.1,0.25,0.35,False,APPROVE,APPROVE,False
google_dr,uncertainty_calibration,-0.1,0.5,0.4,False,APPROVE,APPROVE,False
google_dr,uncertainty_calibration,-0.05,0.5,0.45,False,APPROVE,APPROVE,False
google_dr,uncertainty_calibration,0.0,0.5,0.5,False,APPROVE,APPROVE,False
google_dr,uncertainty_calibration,0.05,0.5,0.55,False,APPROVE,APPROVE,False
google_dr,uncertainty_calibration,0.1,0.5,0.6,False,APPROVE,APPROVE,False
google_dr,traceability_integrity,-0.1,0.55,0.45,False,APPROVE,APPROVE,False
google_dr,traceability_integrity,-0.05,0.55,0.5,False,APPROVE,APPROVE,False
google_dr,traceability_integrity,0.0,0.55,0.55,False,APPROVE,APPROVE,False
google_dr,traceability_integrity,0.05,0.55,0.6,False,APPROVE,APPROVE,False
